time	I(R16)
4.079419834720661e-02	7.201144e-02
4.080284258338190e-02	7.079817e-02
4.081148681955720e-02	6.937157e-02
4.082013105573250e-02	6.773162e-02
4.082946683080182e-02	6.572309e-02
4.083880260587114e-02	6.350951e-02
4.084813838094046e-02	6.109090e-02
4.085747415600978e-02	5.846724e-02
4.086680993107910e-02	5.563854e-02
4.087614570614842e-02	5.260480e-02
4.088548148121774e-02	4.936601e-02
4.088963071458188e-02	4.787910e-02
4.089377994794603e-02	4.636225e-02
4.089792918131017e-02	4.481547e-02
4.090207841467431e-02	4.323876e-02
4.090622764803845e-02	4.163212e-02
4.091037688140260e-02	3.999554e-02
4.091452611476674e-02	3.832903e-02
4.091694650089582e-02	3.734635e-02
4.092420765928307e-02	3.433106e-02
4.093146881767032e-02	3.126025e-02
4.093872997605757e-02	2.813392e-02
4.094599113444482e-02	2.495208e-02
4.095325229283207e-02	2.171472e-02
4.096051345121932e-02	1.842185e-02
4.096777460960657e-02	1.507346e-02
4.097088653462967e-02	1.363394e-02
4.097399845965278e-02	1.219022e-02
4.097711038467589e-02	1.074230e-02
4.098022230969899e-02	9.290169e-03
4.098333423472210e-02	7.833839e-03
4.098644615974521e-02	6.373306e-03
4.098955808476831e-02	4.908569e-03
4.099439885702648e-02	2.626703e-03
4.099801573682901e-02	9.184736e-04
4.099848453608641e-02	6.968201e-04
4.099895333534382e-02	4.751006e-04
4.099942213460123e-02	2.533151e-04
4.099989093385863e-02	3.146369e-05
4.100035973311604e-02	-1.904537e-04
4.100082853237345e-02	-4.124370e-04
4.100129733163085e-02	-6.344863e-04
4.100210965293085e-02	-1.020355e-03
4.100282694018047e-02	-1.360715e-03
4.100885904748382e-02	-4.220761e-03
4.101489115478715e-02	-7.064739e-03
4.102092326209050e-02	-9.892650e-03
4.102695536939383e-02	-1.270449e-02
4.103298747669717e-02	-1.550027e-02
4.103901958400051e-02	-1.827998e-02
4.104505169130385e-02	-2.104362e-02
4.105300438858513e-02	-2.464834e-02
4.106095708586640e-02	-2.817035e-02
4.106890978314767e-02	-3.160965e-02
4.107686248042895e-02	-3.496623e-02
4.108481517771022e-02	-3.824009e-02
4.109276787499149e-02	-4.143124e-02
4.110072057227276e-02	-4.453968e-02
4.110452403618989e-02	-4.597956e-02
4.110832750010703e-02	-4.739126e-02
4.111213096402416e-02	-4.877478e-02
4.111593442794129e-02	-5.013011e-02
4.111973789185842e-02	-5.145726e-02
4.112354135577555e-02	-5.275622e-02
4.112734481969268e-02	-5.402701e-02
4.113218559195084e-02	-5.559727e-02
4.113460597807993e-02	-5.636489e-02
4.113577569354564e-02	-5.673109e-02
4.113717581889088e-02	-5.716477e-02
4.113807253475087e-02	-5.744048e-02
4.113896925061086e-02	-5.771422e-02
4.113986596647085e-02	-5.798598e-02
4.114076268233083e-02	-5.825578e-02
4.114165939819082e-02	-5.852360e-02
4.114255611405080e-02	-5.878945e-02
4.114345282991079e-02	-5.905332e-02
4.114716078813891e-02	-6.012423e-02
4.115442194652616e-02	-6.212941e-02
4.116168310491341e-02	-6.400604e-02
4.116790695495962e-02	-6.551357e-02
4.117413080500584e-02	-6.691615e-02
4.118035465505205e-02	-6.821379e-02
4.118657850509826e-02	-6.940647e-02
4.119280235514448e-02	-7.049421e-02
4.119902620519069e-02	-7.147700e-02
4.120525005523690e-02	-7.235485e-02
4.121043659694208e-02	-7.299953e-02
4.121562313864726e-02	-7.356552e-02
4.122080968035244e-02	-7.405282e-02
4.122599622205762e-02	-7.446142e-02
4.123118276376279e-02	-7.479133e-02
4.123636930546797e-02	-7.504254e-02
4.124155584717315e-02	-7.521506e-02
4.124639661943132e-02	-7.530295e-02
4.125123739168948e-02	-7.532141e-02
4.125607816394765e-02	-7.527042e-02
4.126091893620581e-02	-7.514999e-02
4.126575970846398e-02	-7.496012e-02
4.127060048072215e-02	-7.470081e-02
4.127544125298031e-02	-7.437205e-02
4.128339395026159e-02	-7.367632e-02
4.129134664754286e-02	-7.280360e-02
4.129929934482413e-02	-7.175390e-02
4.130725204210541e-02	-7.052721e-02
4.131520473938668e-02	-6.912355e-02
4.132315743666795e-02	-6.754290e-02
4.133111013394922e-02	-6.578527e-02
4.134148321735958e-02	-6.322383e-02
4.135185630076994e-02	-6.042688e-02
4.136222938418029e-02	-5.739442e-02
4.137260246759065e-02	-5.412645e-02
4.138297555100100e-02	-5.062296e-02
4.139334863441136e-02	-4.688397e-02
4.140372171782172e-02	-4.290947e-02
4.141340326233805e-02	-3.903052e-02
4.142308480685438e-02	-3.504548e-02
4.143276635137071e-02	-3.095434e-02
