WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1473.950;-4.49;-67.60;-67.37;-66.95;-40.50
1473.960;-4.47;-67.63;-67.40;-66.97;-40.62
1473.970;-4.44;-67.65;-67.43;-67.00;-40.64
1473.980;-4.45;-67.65;-67.42;-66.99;-40.64
1473.990;-4.44;-67.66;-67.43;-67.00;-40.58
1474.000;-4.44;-67.65;-67.43;-67.00;-40.50
1474.010;-4.41;-67.69;-67.46;-67.04;-40.57
1474.020;-4.42;-67.67;-67.44;-67.02;-40.57
1474.030;-4.46;-67.64;-67.41;-66.98;-40.37
1474.040;-4.46;-67.64;-67.41;-66.98;-40.60
1474.050;-4.46;-67.64;-67.41;-66.98;-40.53
1474.060;-4.49;-67.60;-67.38;-66.95;-40.62
1474.070;-4.49;-67.60;-67.37;-66.95;-40.59
1474.080;-4.50;-67.59;-67.37;-66.94;-40.53
1474.090;-4.50;-67.59;-67.37;-66.94;-40.68
1474.100;-4.53;-67.57;-67.34;-66.91;-40.58
1474.110;-4.54;-67.55;-67.33;-66.90;-40.67
1474.120;-4.58;-67.52;-67.29;-66.86;-40.62
1474.130;-4.61;-67.49;-67.26;-66.83;-40.42
1474.140;-4.62;-67.47;-67.25;-66.82;-40.56
1474.150;-4.61;-67.48;-67.26;-66.83;-40.49
1474.160;-4.61;-67.48;-67.26;-66.83;-40.40
1474.170;-4.62;-67.47;-67.25;-66.82;-40.23
1474.180;-4.61;-67.48;-67.26;-66.83;-40.20
1474.190;-4.65;-67.45;-67.23;-66.79;-40.15
1474.200;-4.63;-67.47;-67.25;-66.81;-40.04
1474.210;-4.61;-67.49;-67.27;-66.83;-39.97
1474.220;-4.64;-67.45;-67.24;-66.80;-39.91
1474.230;-4.65;-67.44;-67.22;-66.79;-39.96
1474.240;-4.67;-67.42;-67.20;-66.77;-39.87
1474.250;-4.68;-67.41;-67.19;-66.76;-39.90
1474.260;-4.69;-67.41;-67.19;-66.75;-39.87
1474.270;-4.69;-67.40;-67.18;-66.75;-39.92
1474.280;-4.67;-67.42;-67.20;-66.77;-39.78
1474.290;-4.66;-67.43;-67.21;-66.78;-39.87
1474.300;-4.63;-67.46;-67.24;-66.81;-39.84
1474.310;-4.60;-67.49;-67.27;-66.84;-39.82
1474.320;-4.64;-67.45;-67.23;-66.80;-39.84
1474.330;-4.66;-67.44;-67.22;-66.78;-39.86
1474.340;-4.66;-67.44;-67.22;-66.78;-39.88
1474.350;-4.67;-67.42;-67.20;-66.77;-39.79
1474.360;-4.66;-67.44;-67.22;-66.78;-39.83
1474.370;-4.65;-67.44;-67.22;-66.79;-39.73
1474.380;-4.62;-67.47;-67.26;-66.82;-39.73
1474.390;-4.59;-67.50;-67.29;-66.85;-39.81
1474.400;-4.61;-67.48;-67.26;-66.83;-39.74
1474.410;-4.60;-67.49;-67.27;-66.84;-39.63
1474.420;-4.59;-67.50;-67.28;-66.85;-39.79
1474.430;-4.65;-67.44;-67.23;-66.79;-39.73
1474.440;-4.61;-67.48;-67.26;-66.83;-39.71
1474.450;-4.63;-67.46;-67.25;-66.81;-39.70
1474.460;-4.62;-67.48;-67.26;-66.82;-39.68
1474.470;-4.60;-67.49;-67.28;-66.84;-39.68
1474.480;-4.58;-67.51;-67.30;-66.86;-39.88
1474.490;-4.57;-67.52;-67.31;-66.87;-39.72
1474.500;-4.55;-67.54;-67.33;-66.89;-39.74
1474.510;-4.59;-67.50;-67.29;-66.85;-39.88
1474.520;-4.54;-67.55;-67.34;-66.90;-39.69
1474.530;-4.58;-67.52;-67.30;-66.86;-39.78
1474.540;-4.61;-67.48;-67.27;-66.83;-39.74
1474.550;-4.53;-67.56;-67.35;-66.91;-39.87
